transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
H0Q7WNWV293S55,2024-07-07,Company Payroll,job,51978.11,INR,netbanking,0124190614349,5989741593742,credit
1WEAM5PCYV69PU,2024-08-04,Company Payroll,job,62047.14,INR,netbanking,0124190614349,5940257517376,credit
9QG0T0Q8GNVLLF,2024-09-03,Company Payroll,job,29338.27,INR,netbanking,0124190614349,6493409321513,credit
9WZT7LVB0I534H,2024-10-01,Company Payroll,job,57343.48,INR,netbanking,0124190614349,1210891820967,credit
I5K1RLBHNG3A32,2024-11-06,Company Payroll,job,29869.65,INR,netbanking,0124190614349,7309295704217,credit
DDX55PASAA2W0L,2024-12-06,Company Payroll,job,88676.61,INR,netbanking,0124190614349,7986521509871,credit
ZXDFA39VMSRTVD,2025-01-01,Company Payroll,job,53591.73,INR,netbanking,0124190614349,0474059850002,credit
75PBZE4WLWU1TK,2025-02-02,Company Payroll,job,57542.19,INR,netbanking,0124190614349,7014407689036,credit
P1MB0KD84GRNJ0,2025-03-04,Company Payroll,job,66052.26,INR,netbanking,0124190614349,3344720526838,credit
VTU54UN508VQTX,2025-04-07,Company Payroll,job,80398.01,INR,netbanking,0124190614349,1674187169573,credit
XUGUHS6P09CZ6U,2025-05-06,Company Payroll,job,38166.34,INR,netbanking,0124190614349,1142743657647,credit
QSVCENN2EIPKMJ,2025-06-01,Company Payroll,job,69772.78,INR,netbanking,0124190614349,0718217794975,credit
6BGMEK8HFBG8Z2,2025-04-19,D-Mart,groceries,4100.1,INR,netbanking,0124190614349,1911674094787,debit
PD0O69XYJDN4JX,2024-09-07,Flipkart,online_shopping,3401.71,INR,card,0124190614349,5089279844466,debit
1IVODV3K68IOYW,2025-03-30,SBI Mutual,funds,14681.66,INR,netbanking,0124190614349,4741126143834,credit
WB3X7HMGVAFCLZ,2025-03-02,D-Mart,groceries,1839.65,INR,netbanking,0124190614349,5606320422158,debit
D3QCGD6YZXPP19,2024-07-24,D-Mart,groceries,1639.38,INR,cash,0124190614349,9294802988689,debit
5143DLOL9ZF1SE,2024-11-21,MakeMyTrip,travel,156.12,INR,UPI,0124190614349,7722594064748,debit
2L0ALO0A3NP2B3,2024-07-10,Spencers,groceries,2251.96,INR,netbanking,0124190614349,1268580344637,debit
AQ4KLTJQP7MRLD,2025-02-18,Reliance Fresh,groceries,352.51,INR,cash,0124190614349,8622262440866,debit
HLB02UBTDBUWYP,2025-02-15,Spencers,groceries,76.01,INR,netbanking,0124190614349,7931981763074,debit
S2S7M2TJM6BK3R,2024-07-14,Upstox,stocks,5988.39,INR,netbanking,0124190614349,6891150075797,credit
AMM1B148BEZ1MJ,2025-02-02,D-Mart,groceries,1580.1,INR,cash,0124190614349,0390913462684,debit
Q6YBJJ27LDM35H,2024-07-18,D-Mart,groceries,2038.66,INR,cash,0124190614349,3613460037129,debit
EQO5K4PJ1YHTR1,2025-04-01,Reliance Fresh,groceries,302.61,INR,card,0124190614349,2148834424580,debit
897IQD71DKX73W,2025-03-10,Water Bill,utilities,3438.13,INR,cash,0124190614349,0804032181863,debit
GAY0HEPNM85FJ8,2025-03-14,Spencers,groceries,1497.9,INR,card,0124190614349,3046791107402,debit
1FT9BRXVGLGG1W,2025-02-14,D-Mart,groceries,1602.86,INR,card,0124190614349,1007792826231,debit
SOTBG1MVJQY5KW,2025-02-17,Mobile Recharge,utilities,1839.09,INR,cash,0124190614349,1427536021821,debit
BH8XY8XH2VHSV4,2025-01-18,D-Mart,groceries,3670.68,INR,card,0124190614349,8019949738155,debit
WF4G6EAKDVS3GR,2024-07-28,Petrol Bunk,utilities,3965.88,INR,netbanking,0124190614349,0579975351767,debit
7509HIOFYNZSOM,2025-02-11,SBI Mutual,funds,1921.56,INR,netbanking,0124190614349,6048558701732,credit
LF23GDMMPTHS89,2024-11-19,D-Mart,groceries,660.53,INR,UPI,0124190614349,1661001828807,debit
1K2JFQ0WVGKWW5,2024-09-12,INOX,others,4630.62,INR,netbanking,0124190614349,2891578773852,debit
TDWC2KIV4ZXTPV,2025-02-02,Nippon AMC,funds,10567.15,INR,netbanking,0124190614349,0788262779686,credit
8EWL4O75DQK0UT,2025-03-09,Spencers,groceries,1599.15,INR,card,0124190614349,0492502925089,debit
YSI3VUAQDZ63IN,2025-03-23,INOX,others,797.4,INR,netbanking,0124190614349,0800795948533,debit
51O40U5UX1XOWD,2025-05-13,Spencers,groceries,414.81,INR,card,0124190614349,8372148416597,debit
X7E0CXFXQSY8RV,2025-01-07,D-Mart,groceries,3077.37,INR,card,0124190614349,7672670396448,debit
GKV1EMPUNTOENV,2024-11-21,Uber,travel,757.63,INR,cash,0124190614349,0503517061122,debit
VP7RO4QN8GJUBN,2025-01-06,Barista,others,4542.39,INR,UPI,0124190614349,9049278418003,debit
WRMS0JNPH2A6S3,2025-02-23,Freelance Payment,job,29869.68,INR,netbanking,0124190614349,9563882902395,credit
