transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
FW6F986B88JL6J,2024-07-06,Company Payroll,job,80056.42,INR,netbanking,1478276631136,7552479853148,credit
C1PU6F19YSOMWL,2024-08-02,Company Payroll,job,50468.41,INR,netbanking,1478276631136,5385866031603,credit
YC55LIYVWG7RD0,2024-09-07,Company Payroll,job,27713.53,INR,netbanking,1478276631136,8374844756022,credit
GCLO98IPHWFP83,2024-10-05,Company Payroll,job,88976.69,INR,netbanking,1478276631136,9959866457462,credit
TMAG370BNOQ7FB,2024-11-01,Company Payroll,job,78618.59,INR,netbanking,1478276631136,5143804038065,credit
SIU7ZT1W5GN058,2024-12-05,Company Payroll,job,57462.09,INR,netbanking,1478276631136,3151146153251,credit
Z031T8TZUDIQJ6,2025-01-03,Company Payroll,job,55554.25,INR,netbanking,1478276631136,7471264880920,credit
S8MF66JED3S5SQ,2025-02-02,Company Payroll,job,88997.75,INR,netbanking,1478276631136,7613523214154,credit
8PNGHHYUIJL70V,2025-03-02,Company Payroll,job,48295.81,INR,netbanking,1478276631136,2300840439945,credit
FY54S79PP2SX2Y,2025-04-04,Company Payroll,job,84755.29,INR,netbanking,1478276631136,8675866688904,credit
M278YND5W5CQDB,2025-05-06,Company Payroll,job,77620.81,INR,netbanking,1478276631136,6071239514943,credit
ENJVW6LYN6ACC9,2025-06-06,Company Payroll,job,21823.99,INR,netbanking,1478276631136,8232118870242,credit
UU40UNGXB9PAQ6,2024-11-02,Ola,travel,1052.63,INR,card,1478276631136,2016970318080,debit
AHYHHY9TP4A0HT,2025-05-31,Upstox,stocks,13827.87,INR,netbanking,1478276631136,2270095121468,credit
L6VHCLRQQFQ333,2025-06-16,Myntra,online_shopping,2773.84,INR,card,1478276631136,3599446077364,debit
IYHOMLIVUZXBDA,2025-02-02,Groww,stocks,10436.22,INR,netbanking,1478276631136,3906254034788,credit
A2M0ESIU8TJWXY,2025-01-12,Spencers,groceries,2960.64,INR,netbanking,1478276631136,0721063154906,debit
3UQS9O8INMM7A7,2024-09-22,MakeMyTrip,travel,401.19,INR,UPI,1478276631136,7551176320325,debit
Z6X4PFX8Y0VXPY,2024-12-08,Reliance Fresh,groceries,152.03,INR,card,1478276631136,3961536507633,debit
MVM93WM6W4GHZV,2025-03-31,Electricity Bill,utilities,830.89,INR,UPI,1478276631136,7108079090687,debit
5708UFJIWQ6MTD,2025-01-04,Uber,travel,1363.3,INR,cash,1478276631136,1188575632362,debit
