transaction_id,date,merchant,category,amount,currency,payment_mode,receiver_acc_no,sender_acc_no,type
2V5S79BSI5UBV3,2024-07-06,Company Payroll,job,1572.74,USD,netbanking,6714086308777,2984851894909,credit
6SGSMJAVHNGLJS,2024-08-01,Company Payroll,job,2785.32,USD,netbanking,6714086308777,7040526612052,credit
9ENONT9NBAF3VE,2024-09-02,Company Payroll,job,2483.37,USD,netbanking,6714086308777,0571861315183,credit
FLZT3CZUFZ2QKI,2024-10-05,Company Payroll,job,2056.98,USD,netbanking,6714086308777,3198166816506,credit
5U26F2UL7JITTF,2024-11-06,Company Payroll,job,1423.75,USD,netbanking,6714086308777,7214287226490,credit
AGZA8LW2VJNCQP,2024-12-07,Company Payroll,job,1676.45,USD,netbanking,6714086308777,8236144095038,credit
QP9WIN3MCO4H5J,2025-01-03,Company Payroll,job,633.58,USD,netbanking,6714086308777,7641819116161,credit
B35QLY1V1WFH1A,2025-02-01,Company Payroll,job,2945.33,USD,netbanking,6714086308777,5974720469438,credit
76XEF3L879U1VI,2025-03-04,Company Payroll,job,1717.19,USD,netbanking,6714086308777,3346371459021,credit
PFN4P0W4YYABZN,2025-04-02,Company Payroll,job,1176.79,USD,netbanking,6714086308777,2951231408836,credit
KUMGH6MH1I69G4,2025-05-06,Company Payroll,job,1663.25,USD,netbanking,6714086308777,5657952822498,credit
NUVST1GZKA8956,2025-06-03,Company Payroll,job,1628.77,USD,netbanking,6714086308777,5446697384445,credit
WLZS7THMBA9CZL,2024-11-09,Walmart,groceries,78.81,USD,netbanking,6714086308777,4970308217821,debit
39VAQGF2Z0BZOT,2024-10-30,Uber,travel,95.86,USD,card,6714086308777,8156942001150,debit
NA6NHNNL89YHWW,2025-04-12,Walmart,groceries,12.82,USD,card,6714086308777,0639928012307,debit
V59W5U94U07LGV,2025-04-15,Etsy,online_shopping,59.0,USD,apple pay,6714086308777,9015580975669,debit
TSWTGNVW6A9SAQ,2024-12-08,eBay,online_shopping,5.43,USD,netbanking,6714086308777,0081956111293,debit
AREB57WICEUTIR,2025-01-03,Netflix,others,7.3,USD,netbanking,6714086308777,9051779454584,debit
46CUNZVF0TSFMT,2025-01-29,Part-time Work,job,895.93,USD,netbanking,6714086308777,9302247583175,credit
